obs_id,title,local_strategy,landscape,response
Obs_1,Different components of landscape complexity are necessary to preserve multiple taxonomic groups in intensively-managed rice paddy landscapes,Intensity,intermediate,pos
Obs_2,Different components of landscape complexity are necessary to preserve multiple taxonomic groups in intensively-managed rice paddy landscapes,Intensity,intermediate,pos
Obs_3,Diverse landscapes but not wildflower plantings increase marketable crop yield,Floral,intermediate,pos
Obs_4,"Agroecological farming, flowering phenology and the pollinator–herbivore–parasitoid nexus regulate non-crop plant reproduction",Floral,intermediate,pos
Obs_5,"Agroecological farming, flowering phenology and the pollinator–herbivore–parasitoid nexus regulate non-crop plant reproduction",Floral,intermediate,pos
Obs_6,"Agroecological farming, flowering phenology and the pollinator–herbivore–parasitoid nexus regulate non-crop plant reproduction",Floral,intermediate,pos
Obs_7,"Agroecological farming, flowering phenology and the pollinator–herbivore–parasitoid nexus regulate non-crop plant reproduction",Floral,intermediate,pos
Obs_8,"Agroecological farming, flowering phenology and the pollinator–herbivore–parasitoid nexus regulate non-crop plant reproduction",Floral,intermediate,pos
Obs_9,"Agroecological farming, flowering phenology and the pollinator–herbivore–parasitoid nexus regulate non-crop plant reproduction",Floral,intermediate,pos
Obs_10,"Agroecological farming, flowering phenology and the pollinator–herbivore–parasitoid nexus regulate non-crop plant reproduction",Floral,intermediate,pos
Obs_11,Small-scale traditional maize farming fosters greater arthropod diversity value than conventional maize farming,Intensity,intermediate,pos
Obs_12,Small-scale traditional maize farming fosters greater arthropod diversity value than conventional maize farming,Intensity,intermediate,pos
Obs_13,Landscape diversity and crop vigor outweigh influence of local diversification on biological control of a vineyard pest,Floral,intermediate,pos
Obs_14,Landscape diversity and crop vigor outweigh influence of local diversification on biological control of a vineyard pest,Floral,intermediate,pos
Obs_15,The taxon- and functional trait-dependent effects of field margin and landscape composition on predatory arthropods in wheat fields of the North China Plain,Structure,intermediate,pos
Obs_16,Pest control experiments show benefits of complexity at landscape and local scales,Diversity,intermediate,ns
Obs_17,Landscape context shifts the balance of costs and benefits from wildflower borders on multiple ecosystem services,Floral,intermediate,ns
Obs_18,Benefits of wildflower areas as overwintering habitats for ground-dwelling arthropods depend on landscape structural complexity,Floral,intermediate,ns
